,accuracy,days_later,f1_score,name,window
124,0.5216642754662841,1.0,0.5511087635963121,Random_Forest_50,2.0
125,0.5202295552367289,1.0,0.5658957024091414,Random_Forest_75,2.0
126,0.5216642754662841,1.0,0.5620962346993252,Random_Forest_100,2.0
127,0.5153515064562411,1.0,0.5592060999622384,Random_Forest_150,2.0
128,0.5199426111908179,1.0,0.5646252945084549,Random_Forest_200,2.0
129,0.5176470588235295,1.0,0.571940628668764,Gradient_Boosting_100,2.0
130,0.5150645624103299,1.0,0.5632004617404159,Gradient_Boosting_120,2.0
131,0.5064562410329986,1.0,0.5439004993185669,XGB_30,2.0
132,0.5104734576757533,1.0,0.5471979757332271,XGB_50,2.0
133,0.5139167862266858,1.0,0.5514554875354991,XGB_70,2.0
134,0.5136298421807748,1.0,0.5481403733615048,XGB_100,2.0
135,0.6002873563218392,7.0,0.7286277242768104,SVC_rbf,2.0
136,0.6002873563218392,7.0,0.7286277242768104,SVC_normal,2.0
137,0.6094827586206897,7.0,0.7101520757020141,KNN_25,2.0
138,0.5979885057471265,7.0,0.7062654699696818,KNN_50,2.0
139,0.5850574712643678,7.0,0.7134608222894518,KNN_75,2.0
140,0.5816091954022988,7.0,0.7155056977308287,KNN_100,2.0
141,0.5755747126436781,7.0,0.6985329272787347,LinDisc,2.0
142,0.5787356321839081,7.0,0.7258531762363942,Deci_Tree_3,2.0
143,0.5686781609195403,7.0,0.6683259583351184,Deci_Tree_6,2.0
144,0.5939655172413792,7.0,0.6776878933839245,Deci_Tree_9,2.0
145,0.6227011494252874,7.0,0.6819866136963457,Deci_Tree_15,2.0
146,0.6224137931034484,7.0,0.671792442870293,Deci_Tree_normal,2.0
147,0.568103448275862,7.0,0.700751321993013,Log_Reg,2.0
148,0.6991379310344827,7.0,0.7407885223037893,Random_Forest_10,2.0
149,0.7227011494252874,7.0,0.769553209675989,Random_Forest_20,2.0
150,0.7396551724137931,7.0,0.7886885241284267,Random_Forest_30,2.0
151,0.7477011494252874,7.0,0.7990463867372272,Random_Forest_50,2.0
152,0.746264367816092,7.0,0.8004616780186371,Random_Forest_75,2.0
153,0.7531609195402298,7.0,0.804633197716312,Random_Forest_100,2.0
154,0.7551724137931034,7.0,0.8067511044940143,Random_Forest_150,2.0
155,0.7560344827586206,7.0,0.8083873598369937,Random_Forest_200,2.0
156,0.6468390804597701,7.0,0.7291019633699701,Gradient_Boosting_100,2.0
157,0.6612068965517242,7.0,0.7368793612728866,Gradient_Boosting_120,2.0
158,0.6913793103448277,7.0,0.7526212294428272,XGB_30,2.0
159,0.6971264367816092,7.0,0.7573011417843418,XGB_50,2.0
160,0.7158045977011495,7.0,0.7723982762489151,XGB_70,2.0
161,0.7241379310344828,7.0,0.777971700115227,XGB_100,2.0
162,0.6287769784172662,14.0,0.7567338122647134,SVC_rbf,2.0
163,0.6287769784172662,14.0,0.7567338122647134,SVC_normal,2.0
164,0.6322302158273382,14.0,0.7344852809137729,KNN_25,2.0
